#
1
1065
64;1;114468;;;;27200.09;0.00;0.00;9;416;;;000000000001;;;;;;;;;1/19432/203;;;;;;;;;;;;;;;;;;
64;1;114469;;;;0.00;481583.72;0.00;9;416;;;000000000002;;;;;;;;;0/6832/427;;;;;;;;;;;;;;;;;;
42;1;114470;;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114470;;;;;;;;;;;;;;;;;;
12;1;114485;0000000002;117324;;71.00;-1.000;-71.00;0;416;-71.00;-71.00;000000000001;;2200000006103;-71.00;;;0000000001;;;1/416/114485;;;;;;0;;;;;;;;;;;;
11;1;114485;00006192;277;;39.00;1.000;39.00;0;416;39.00;39.00;000000000001;;2200000006226;39.00;;;0000000001;;;1/416/114485;;;;;;0;;;;;;;;;;;;
12;1;114485;0000000002;277;;39.00;-1.000;-39.00;0;416;-39.00;-39.00;000000000001;;2200000006226;-39.00;;;0000000001;;;1/416/114485;;;;;;0;;;;;;;;;;;;
11;1;114485;00006192;106884;;7.50;1.000;7.58;0;416;7.42;7.42;000000000001;;2200000004819;7.50;;;0000000001;;;1/416/114485;;;;;;0;;;;;;;;;;;;
14;1;114485;00006192;106884;;000000000002;000000000002;0.00;0;416;7.42;7.42;000000000001;;2200000004819;7.50;;;0000000001;;;1/416/114485;;;;;;;;;;;;;;;;;;
16;1;114485;00006192;106884;;;1.000;0.00;0;416;7.42;7.42;000000000001;;2200000004819;;;;0000000001;;;1/416/114485;;;;;;;;;;;;;;;;;;
11;1;114485;00006192;277;;39.00;1.000;39.42;0;416;38.58;38.58;000000000001;;2200000006226;39.00;;;0000000001;;;1/416/114485;;;;;;0;;;;;;;;;;;;
14;1;114485;00006192;277;;000000000002;000000000002;0.00;0;416;38.58;38.58;000000000001;;2200000006226;39.00;;;0000000001;;;1/416/114485;;;;;;;;;;;;;;;;;;
16;1;114485;00006192;277;;;1.000;0.00;0;416;38.58;38.58;000000000001;;2200000006226;;;;0000000001;;;1/416/114485;;;;;;;;;;;;;;;;;;
40;1;114485;00006192;;0000000001;0;50.00;50.00;0;416;;;0;;;0;;;0000000001;;;1/416/114485;;;;;;;;;;;;;;;;;;
43;1;114485;00006192;;0000000001;0;46.00;46.00;0;416;;;000000000001;;;;;;0000000001;;;14/19446/203;;;;;;;;;;;;;;;;;;
40;1;114485;00006192;;0000000001;0;-4.00;-4.00;0;416;;;;;;;;;0000000001;;;1/416/114485;;;;;;;;;;;;;;;;;;
49;1;114485;00006192;;;;;46.00;0;416;;;000000000001;;;;;;0000000001;;;14/19446/203;;;;;;;;;;;;;;;;;;
45;1;114485;00006192;;;;;46.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14519;0687339066;14/19446/203;;;;;;;;;;;;;;;;;;13.07.2021 17:36:00
55;1;114485;00006192;;;;2.000;46.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114485;;;;;;;;;;;;;;;;;;
42;1;114486;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114486;;;;;;;;;;;;;;;;;;
11;1;114486;00006192;106884;;7.50;2.000;15.00;0;416;7.50;15.00;000000000001;;2200000004819;15.00;;;0000000001;;;1/416/114486;;;;;;0;;;;;;;;;;;;
14;1;114486;00006192;106884;;000000000002;000000000002;0.00;0;416;7.50;15.00;000000000001;;2200000004819;15.00;;;0000000001;;;1/416/114486;;;;;;;;;;;;;;;;;;
16;1;114486;00006192;106884;;;2.000;0.00;0;416;7.50;15.00;000000000001;;2200000004819;;;;0000000001;;;1/416/114486;;;;;;;;;;;;;;;;;;
11;1;114486;00006192;117968;;65.00;2.000;130.00;0;416;65.00;130.00;000000000001;;2200000006165;130.00;;;0000000001;;;1/416/114486;;;;;;0;;;;;;;;;;;;
14;1;114486;00006192;117968;;000000000002;000000000002;0.00;0;416;65.00;130.00;000000000001;;2200000006165;130.00;;;0000000001;;;1/416/114486;;;;;;;;;;;;;;;;;;
16;1;114486;00006192;117968;;;2.000;0.00;0;416;65.00;130.00;000000000001;;2200000006165;;;;0000000001;;;1/416/114486;;;;;;;;;;;;;;;;;;
41;1;114486;00006192;;0000000002;1;145.00;145.00;0;416;;;0;;;0;;;0000000001;;;1/416/114486;;;;;;;;;;;;;;;;;;
43;1;114486;00006192;;0000000002;1;145.00;145.00;0;416;;;000000000001;;;;;;0000000001;;;15/19447/203;;;;;;;;;;;;;;;;;;
49;1;114486;00006192;;;;;145.00;0;416;;;000000000001;;;;;;0000000001;;;15/19447/203;;;;;;;;;;;;;;;;;;
45;1;114486;00006192;;;;;145.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14520;1213242587;15/19447/203;;;;;;;;;;;;;;;;;;13.07.2021 18:17:00
55;1;114486;00006192;;;;4.000;145.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114486;;;;;;;;;;;;;;;;;;
